mun,gini_mean,year,pto,trat_2
Nuevo Parangaricutiro,0.204440319,2007,0,1
Coeneo,0.119480193,2007,0,0
Jimenez,0.228565432,2007,0,0
Yurecuaro,0.297830926,2007,0,0
Nahuatzen,0.191651702,2007,0,0
Ecuandureo,0.23735488800000001,2007,0,0
Villamar,0.293199402,2007,0,0
Coalcoman,0.304211772,2007,0,0
Tiquicheo,0.182387287,2007,0,0
Tumbiscatio,0.220523114,2007,0,0
Tuzantla,0.314404855,2007,0,0
Aguililla,0.152579948,2007,0,0
Huaniqueo,0.237742224,2007,0,0
Ixtlan,0.100534403,2007,0,0
Tancitaro,0.283995846,2007,0,1
Caracuaro,0.188143108,2007,0,0
Cuitzeo,0.353695394,2007,0,0
Chucandiro,0.037643465,2007,0,0
Santa Ana Maya,0.173167939,2007,0,0
Huandacareo,0.159808281,2007,0,0
Copandaro,0.141951659,2007,0,0
Marcos Castellanos,0.342867889,2007,0,0
Juarez,0.110901127,2007,0,1
Susupuato,0.078621032,2007,0,0
Coahuayana,0.376052442,2007,0,0
Aquila,0.410322386,2007,0,0
Apatzingan,0.389476359,2008,0,1
Arteaga,0.317679639,2008,0,0
Cotija,0.329867921,2008,0,1
Charapan,0.273436226,2008,0,0
Cheran,0.210036083,2008,0,0
Chilchota,0.200065324,2008,0,1
Gabriel Zamora,0.307532078,2008,0,0
Hidalgo,0.418283245,2008,0,1
Jacona,0.399201687,2008,0,0
Jiquilpan,0.379108664,2008,0,0
Jungapeo,0.261028089,2008,0,1
La Piedad,0.395923412,2008,0,0
Lazaro Cardenas,0.441686722,2008,0,0
Los Reyes,0.394930198,2008,0,1
Morelia,0.441078518,2008,0,0
Mugica,0.374030414,2008,0,0
Nocupetaro,0.245316099,2008,0,0
Nuevo Urecho,0.177354415,2008,0,0
Paracuaro,0.119958488,2008,0,0
Paracho,0.384552987,2008,0,0
Patzcuaro,0.399790002,2008,0,1
Periban,0.246863112,2008,0,1
Quiroga,0.159802389,2008,0,1
Sahuayo,0.367222003,2008,0,0
Tacambaro,0.378886424,2008,0,1
Taretan,0.424628059,2008,0,1
Tinguindin,0.370476845,2008,0,1
Tocumbo,0.477978324,2008,0,1
Turicato,0.118755513,2008,0,1
Uruapan,0.421279003,2008,0,1
Venustiano Carranza,0.272176498,2008,0,0
Zacapu,0.4213961,2008,0,0
Zamora,0.415750058,2008,0,0
Zitacuaro,0.415428909,2008,0,1
Tarimbaro,0.289422276,2008,0,1
Angangueo,0.15494896,2008,0,0
Acuitzio,0.150500058,2008,0,1
Ario,0.295294565,2008,0,1
Erongaricuaro,0.190285954,2008,0,1
La Huacana,0.51554372,2008,0,0
Huiramba,0.135454155,2008,0,1
Lagunillas,0.377268211,2008,0,1
Madero,0.192259186,2008,0,1
Salvador Escalante,0.29258266,2008,0,1
Tingambato,0.328927361,2008,0,1
Tzintzuntzan,0.148818671,2008,0,1
Angamacutiro,0.155350261,2008,0,0
Jose Sixto Verduzco,0.19114624,2008,0,0
Morelos,0.104980831,2008,0,0
Panindicuaro,0.304222599,2008,0,0
Penjamillo,0.39358625,2008,0,0
Puruandiro,0.347715258,2008,0,0
Churumuco,0.175574659,2008,0,0
