cve,year,se1_0,se1_1,se1_3,se1_4,se1_5,se1_6,se1_7,se1_8,se1_9,rs_w1,rs_w2,rs_w3,rs_w4,rs_w5,rs_w6,rs_w7,rs_w8,rs_w9,rs_w10,rs_w11,rs_w12,rs_w13,rs_w14,rs_w15,rs_w16,rs_w17,rs_w18,rs_w19,rs_w20,rs_w21,rs_w22,rs_w23,rs_w24,rs_w25,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,mun,trat,pto
D06,2012,405,0,594,136,0,722,81,277,228,158,1623,346,72,55,49,39,34,6,18,20,6,8,0,9,0,0,0,0,0,0,0,0,0,0,300,857,956,330,0,0,0,Venustiano Carranza,0,1
D08,2012,2458,277,19212,5140,1388,36369,5168,17389,13379,7454,36326,16535,10067,6401,4643,3416,2454,2069,1678,1393,1283,981,839,798,671,620,476,326,360,242,214,183,221,740,7482,19054,36536,25127,3441,1980,6883,Zamora,0,1
L26,2012,0,0,12,1,183,256,48,113,0,25,295,44,32,21,29,25,40,30,4,18,20,16,3,3,8,0,0,0,0,0,0,0,0,0,43,197,373,0,0,0,0,Penjamillo,0,1
O23,2012,401,0,49,0,107,188,0,24,216,0,620,226,104,12,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,89,484,256,143,0,0,Pajacuaran,0,1
O28,2012,167,0,853,381,0,824,247,61,187,68,1629,549,215,109,74,16,30,20,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,184,481,1097,486,472,0,0,Vista Hermosa,0,1
O29,2012,215,0,36,24,0,670,139,362,17,24,668,279,159,103,104,52,13,13,12,0,20,2,0,0,12,0,1,0,0,0,0,0,0,1,86,305,1036,36,0,0,0,Tanhuato,0,1
O30,2012,580,0,98,104,0,224,0,112,36,54,834,130,82,10,20,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,182,619,266,0,0,0,Brisenas,0,1
O31,2012,0,0,24,0,0,126,0,0,0,63,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,93,0,0,0,0,Zinaparo,0,1
O32,2012,0,0,193,0,48,158,0,24,21,24,299,61,12,24,2,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,254,157,0,0,0,0,Churintzio,0,1
O33,2012,1012,0,245,160,0,894,33,158,106,144,1401,572,160,133,54,13,37,24,4,0,8,4,4,0,2,0,0,0,2,8,0,10,10,12,155,586,1514,353,0,0,0,Numaran,0,1
O39,2012,1002,0,622,487,193,2108,275,569,507,223,3691,1026,407,90,46,51,11,46,34,14,29,28,22,24,8,4,4,5,0,0,0,0,0,0,644,1334,3441,263,81,0,0,Tangancicuaro,1,1
O40,2012,197,0,2306,132,300,1732,120,639,369,430,3136,790,525,358,140,109,59,42,17,15,44,45,10,35,5,7,2,2,4,11,1,0,0,1,623,1353,2581,1238,0,0,0,Purepero,1,1
O41,2012,115,161,0,0,0,175,0,0,77,19,359,55,17,37,26,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,125,376,0,0,0,0,Tlazazalca,0,1
O43,2012,0,0,12,25,0,207,6,118,102,20,294,39,31,4,24,12,16,6,4,8,0,0,4,4,4,0,0,0,0,0,0,0,0,0,51,204,215,0,0,0,0,Cojumatlan de Regules,0,1
O50,2012,48,0,603,0,0,377,127,127,65,33,716,174,144,108,102,6,20,3,1,3,9,11,1,3,0,0,0,0,13,0,0,0,0,0,116,371,442,418,0,0,0,Chavinda,0,1
O51,2012,59,0,440,27,0,499,66,234,259,171,1060,206,71,40,12,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,612,683,0,0,0,0,Tangamandapio,1,1
O56,2012,577,22,1074,93,334,2392,78,531,314,82,3257,928,266,231,144,123,58,63,29,37,50,37,27,23,13,8,2,15,8,2,0,2,6,4,594,1540,3084,197,0,0,0,Yurecuaro,0,1
O60,2012,144,0,176,0,51,719,340,85,109,66,806,274,156,155,55,29,26,25,4,9,2,9,2,0,0,2,0,0,2,0,0,0,0,2,188,234,1202,0,0,0,0,Ecuandureo,0,1
O62,2012,44,0,0,2,0,274,0,109,24,47,298,33,15,22,13,4,10,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,221,196,0,0,0,0,Villamar,0,1
O69,2012,167,0,84,43,0,167,0,146,60,36,410,175,22,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,286,280,0,0,0,0,Ixtlan,0,1
O78,2012,36,0,491,24,0,437,373,195,158,70,1227,180,173,37,12,6,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,150,434,1130,0,0,0,0,Marcos Castellanos,0,1
C82,2012,246,24,2692,1038,2443,7511,990,2838,4437,1095,10056,3011,1761,1328,818,654,617,487,332,339,244,222,183,203,176,135,87,87,65,40,58,42,54,94,2127,5537,7940,4890,0,1725,0,Hidalgo,1,1
C85,2012,324,0,548,71,0,348,0,235,104,72,798,351,103,76,47,58,68,26,6,7,9,0,8,0,0,0,1,0,0,0,0,0,0,0,129,352,958,191,0,0,0,Jungapeo,1,1
D09,2012,497,0,4935,1449,715,12303,1474,6205,5040,1138,13903,4973,2814,1816,1568,1158,947,757,637,552,461,325,279,151,224,164,98,95,90,63,78,53,39,121,2489,6562,12608,7365,2420,1078,0,Zitacuaro,1,1
H44,2012,0,426,28,209,0,55,0,74,135,8,555,255,58,26,4,7,6,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,54,175,230,468,0,0,0,Angangueo,0,1
N97,2012,0,12,1935,144,0,228,0,59,150,220,1233,449,254,114,78,37,36,21,11,8,4,9,15,6,30,0,0,0,3,0,0,0,0,0,159,261,1832,276,0,0,0,Tlalpujahua,0,1
O27,2012,66,0,427,120,0,144,12,38,0,12,613,94,76,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,349,401,0,0,0,0,Ocampo,1,1
O34,2012,0,54,1190,704,0,5105,1559,2113,1056,218,6158,1646,1065,653,515,315,245,188,152,106,94,85,79,44,38,30,26,12,18,2,31,4,14,16,932,2494,5807,2548,0,0,0,Maravatio,0,1
O35,2012,6,0,362,176,0,246,0,725,123,45,665,544,207,65,48,21,10,12,0,1,0,4,12,0,0,0,0,0,1,3,0,0,0,0,60,83,860,567,68,0,0,Contepec,0,1
O36,2012,144,732,358,118,0,2370,61,677,725,347,2398,745,438,399,203,129,98,89,88,35,29,40,24,41,10,6,10,6,11,5,2,3,12,17,483,946,1532,2224,0,0,0,Huetamo,0,1
O37,2012,444,0,257,40,0,712,172,48,0,112,899,326,102,84,29,52,35,7,0,11,3,1,0,0,0,0,0,0,0,0,2,0,0,10,67,204,829,444,102,27,0,San Lucas,0,1
O44,2012,0,36,231,11,0,610,1,13,0,0,626,147,82,27,4,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,32,234,334,302,0,0,0,Irimbo,0,1
O45,2012,0,0,56,0,0,0,36,0,0,0,56,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,88,0,0,0,0,0,Aporo,0,1
O46,2012,933,0,163,273,189,774,8,350,341,325,1554,441,123,169,98,56,32,44,51,37,3,14,32,10,8,0,4,2,4,0,0,0,2,22,243,883,1347,558,0,0,0,Tuxpan,1,1
O47,2012,29,0,50,47,0,179,0,0,83,11,340,22,7,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,175,192,0,0,0,0,Senguio,0,1
O64,2012,0,0,0,117,0,169,0,0,0,36,69,83,65,13,11,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,103,170,0,0,0,0,Tiquicheo,0,1
O66,2012,0,0,30,104,0,132,10,12,0,6,166,99,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,113,151,0,0,0,0,Tuzantla,0,1
O79,2012,0,0,0,24,0,210,0,0,0,0,71,43,85,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,201,24,0,0,0,Juarez,1,1
O80,2012,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,Susupuato,0,1
S54,2012,0,0,34,0,0,12,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,0,Epitacio Huerta,0,1
C76,2012,0,53,0,24,1578,37,177,24,0,0,100,129,138,74,90,114,105,119,112,95,99,121,93,82,78,77,61,57,30,40,22,19,10,28,55,127,480,1231,0,0,0,Arteaga,0,1
C87,2012,431,2478,13933,6775,2469,20738,11890,16562,8490,2322,25289,12193,7333,6347,4651,3300,3078,2522,1887,1744,1484,1423,1083,1047,990,1024,794,801,629,576,624,605,480,1340,4147,13870,29238,18154,3473,4999,9748,Lazaro Cardenas,0,1
O61,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinicuila,0,1
O81,2013,490,0,147,41,227,208,27,341,0,52,666,151,190,197,43,46,8,9,48,14,14,5,11,13,3,2,0,0,0,0,0,0,0,0,159,362,960,0,0,0,0,Coahuayana,0,1
O82,2013,12,1050,11,365,0,312,414,234,0,24,485,488,147,119,243,126,99,117,63,54,32,70,40,37,38,30,18,21,9,7,16,19,7,60,103,197,691,1407,0,0,0,Aquila,0,1
C89,2013,3386,758,53107,16764,6477,81721,14605,67059,38424,18815,70814,41121,28882,20704,16006,12408,9933,8783,7360,6249,5617,4472,4286,3743,3173,2847,2272,2010,1910,1676,1341,1294,1240,4631,17116,41828,83880,67029,32075,17277,22851,Morelia,0,1
C91,2013,0,0,0,24,0,87,0,0,0,12,65,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,87,0,0,0,0,Nocupetaro,0,1
C95,2013,411,0,2147,1312,700,8538,1114,3844,4045,1230,9834,3630,1924,1076,659,624,513,483,322,256,245,190,124,107,209,123,98,91,38,43,41,33,57,110,1808,4309,8286,6351,1345,0,0,Patzcuaro,1,1
C97,2013,0,0,430,326,0,1667,6,896,388,437,2172,517,216,145,75,24,10,40,9,20,10,2,10,6,0,7,0,0,0,0,0,0,0,3,467,853,1735,658,0,0,0,Quiroga,1,1
C99,2013,1962,59,1748,513,495,4051,272,1071,1785,647,4563,2112,1236,860,352,215,150,197,172,169,83,112,99,48,42,40,22,29,32,25,16,6,2,29,650,1984,5371,3143,65,357,312,Tacambaro,1,1
D04,2013,376,0,57,0,0,525,13,152,60,51,589,169,58,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,246,555,42,304,0,0,Turicato,1,1
D07,2013,516,127,8172,2303,749,8947,1436,4392,1920,1955,13738,3627,2262,1544,1009,664,503,362,353,276,274,241,212,209,145,133,110,88,86,69,20,39,37,229,2614,7024,10933,5332,2396,0,0,Zacapu,0,1
D10,2013,390,49,3324,1223,0,4065,323,855,1492,510,4626,2351,1411,863,538,346,229,257,89,103,45,38,69,55,7,31,6,8,4,0,8,1,7,60,596,1797,5153,2977,220,978,0,Tarimbaro,1,1
K77,2013,261,48,197,4,45,194,0,48,119,96,532,252,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,351,456,0,0,0,0,Acuitzio,1,1
K78,2013,1049,0,433,68,0,2221,402,592,728,381,2806,793,638,166,149,108,105,77,74,15,10,28,26,4,2,2,2,0,0,0,0,0,2,12,416,1675,2398,946,0,0,0,Ario,1,1
K79,2013,0,0,117,0,0,134,0,48,122,59,284,25,31,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,132,255,0,0,0,0,Erongaricuaro,1,1
K80,2013,88,1208,12,199,0,520,12,204,175,17,864,411,328,184,114,88,58,105,52,23,39,10,29,11,3,3,0,0,0,0,7,0,0,0,153,302,826,424,641,0,0,La Huacana,0,1
K81,2013,0,0,36,140,0,36,0,0,60,24,198,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,72,164,0,0,0,0,Huiramba,1,1
K82,2013,48,0,0,24,0,247,0,560,0,36,185,147,131,144,46,40,48,42,12,0,24,0,12,12,0,0,0,0,0,0,0,0,0,0,15,88,242,534,0,0,0,Lagunillas,1,1
K83,2013,85,0,303,29,0,407,0,53,62,48,544,108,110,29,11,5,25,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,51,256,596,0,0,0,0,Madero,1,1
K84,2013,673,12,1601,12,0,505,12,946,261,394,2159,600,317,113,115,54,38,46,101,4,19,33,3,10,10,2,2,0,0,0,2,0,0,0,227,1079,1709,1007,0,0,0,Salvador Escalante,1,1
K86,2013,48,22,77,36,0,162,0,63,0,12,235,95,54,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,214,162,0,0,0,0,Tzintzuntzan,1,1
L22,2013,19,0,48,8,0,337,0,186,180,0,626,44,48,33,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,317,356,0,0,0,0,Angamacutiro,0,1
L23,2013,117,0,186,0,101,407,13,61,0,58,581,99,58,39,26,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,161,628,0,0,0,0,Jose Sixto Verduzco,0,1
L24,2013,0,0,14,0,0,105,0,24,0,12,119,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,115,12,0,0,0,0,Morelos,0,1
L25,2013,0,0,239,500,0,408,0,259,65,120,550,275,145,155,80,26,36,32,28,0,0,0,3,7,2,0,0,0,0,0,0,0,0,0,194,311,575,391,0,0,0,Panindicuaro,0,1
L27,2013,756,120,1491,502,417,5682,415,1866,1420,527,6481,1909,1124,566,326,239,206,155,136,108,90,80,105,61,85,42,23,22,20,13,12,2,0,10,1374,3426,6186,1417,0,0,0,Puruandiro,0,1
M45,2013,0,0,16,0,0,70,0,24,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,58,0,0,0,0,Churumuco,0,1
O24,2013,338,66,566,568,428,2252,395,1059,257,311,3541,752,272,240,112,95,79,99,68,32,54,44,14,28,18,14,2,16,4,2,1,0,0,12,612,1592,3027,603,0,0,0,Zinapecuaro,1,1
O25,2013,42,0,184,24,0,118,14,36,104,48,408,63,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,181,215,0,0,0,0,Querendaro,0,1
O26,2013,34,0,354,0,0,130,0,0,91,53,424,63,36,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,187,363,0,0,0,0,Indaparapeo,0,1
O48,2013,279,126,178,269,0,361,183,29,61,177,600,285,217,91,43,31,18,0,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,273,1113,0,0,0,0,Charo,0,1
O49,2013,238,0,243,176,0,405,639,409,114,118,1191,153,68,82,58,87,100,115,50,55,22,26,11,14,8,9,4,6,0,4,5,0,0,14,146,647,1419,0,0,0,0,Alvaro Obregon,0,1
O54,2013,24,0,63,51,0,332,22,124,164,127,430,152,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,385,281,0,0,0,0,Coeneo,0,1
O55,2013,0,0,351,84,0,230,104,129,88,63,458,220,87,44,46,29,3,8,7,15,3,2,0,1,0,0,0,0,0,0,0,0,0,0,149,119,367,351,0,0,0,Jimenez,0,1
O68,2013,50,0,213,24,0,194,48,56,0,31,454,74,0,11,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,179,379,0,0,0,0,Huaniqueo,0,1
O71,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caracuaro,0,1
O72,2013,185,0,534,865,182,452,76,93,207,177,1304,474,179,128,80,43,30,22,38,23,13,35,12,4,2,4,4,2,2,2,0,0,0,4,247,335,1082,267,651,0,0,Cuitzeo,0,1
O73,2013,0,0,36,0,0,0,0,0,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,0,0,0,Chucandiro,0,1
O74,2013,0,0,236,30,0,208,0,39,34,60,291,60,48,49,12,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,217,203,0,0,0,0,Santa Ana Maya,0,1
O75,2013,223,0,227,15,94,617,201,598,118,224,1387,148,125,44,60,9,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,741,1086,0,0,0,0,Huandacareo,0,1
O76,2013,62,0,89,56,0,48,31,33,0,17,290,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,220,70,0,0,0,0,Copandaro,0,1
O77,2013,4,0,0,0,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,Tzitzio,0,1
C75,2013,707,36,4129,1557,842,13852,1830,5734,3169,2757,15218,4327,2448,1563,891,710,601,490,417,364,312,220,174,222,215,250,96,116,64,54,48,57,58,124,3145,8360,13697,6654,0,0,0,Apatzingan,1,1
C78,2013,0,0,24,66,0,68,12,11,24,43,94,48,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,83,62,0,0,0,0,Charapan,0,1
C79,2013,0,0,12,84,0,281,0,0,104,46,232,147,18,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,424,0,0,0,0,Cheran,0,1
C81,2013,319,0,552,83,143,732,16,41,101,208,938,408,121,91,50,50,25,22,20,10,14,15,9,2,2,2,0,0,0,0,0,0,0,0,108,422,1083,374,0,0,0,Gabriel Zamora,0,1
C90,2013,214,0,1414,1215,413,3180,60,529,269,751,3752,1133,491,303,136,87,71,75,76,54,78,83,53,33,17,19,6,11,11,8,4,1,0,16,477,1787,3300,1730,0,0,0,Mugica,0,1
C92,2013,82,0,57,4,0,39,0,12,0,40,146,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,160,0,0,0,0,Nuevo Urecho,0,1
C93,2013,182,0,256,6,75,588,0,24,12,196,754,110,18,18,15,20,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,136,559,355,0,0,0,Paracuaro,0,1
C94,2013,0,0,1847,10,224,1212,12,362,121,560,1839,544,230,142,81,58,41,49,42,62,37,21,15,31,10,7,5,14,0,0,0,0,0,0,294,654,2840,0,0,0,0,Paracho,0,1
D01,2013,1161,0,1089,103,0,479,13,201,87,633,712,370,266,157,111,94,95,57,56,67,47,43,33,13,18,20,6,8,2,2,0,0,0,0,205,406,568,881,737,336,0,Taretan,1,1
D05,2013,6329,64,28137,6498,3433,40630,6230,22509,13135,12583,42791,21398,13247,8959,5776,4373,3246,2426,1884,1718,1320,1035,788,795,742,652,489,421,256,262,237,190,234,776,9680,24282,42910,31563,10571,2745,4976,Uruapan,1,1
K85,2013,616,0,24,54,0,197,12,454,0,133,463,265,272,121,52,6,21,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,140,308,459,450,0,0,0,Tingambato,1,1
O21,2013,880,676,251,310,401,2156,116,503,177,535,2567,886,255,216,182,164,134,125,91,73,73,24,35,9,21,13,10,8,12,0,0,2,13,10,383,1279,2377,998,433,0,0,Tepalcatepec,0,1
O22,2013,135,0,760,151,299,926,78,237,183,225,1762,411,172,102,53,8,12,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,376,671,1686,36,0,0,0,Buenavista,0,1
O52,2013,678,0,351,187,0,197,34,606,222,211,1146,504,151,162,64,29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,591,1530,0,0,0,0,Ziracuaretiro,1,1
O53,2013,1477,0,754,33,0,819,1,497,382,433,2398,574,319,81,24,84,12,14,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,205,647,2667,422,22,0,0,Nuevo Parangaricutiro,1,1
O59,2013,0,0,72,11,0,200,0,4,1,37,187,36,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,152,108,0,0,0,0,Nahuatzen,0,1
O63,2013,0,0,310,109,0,385,20,138,1545,218,870,340,317,205,164,122,58,114,40,12,2,10,4,20,0,0,0,10,0,0,1,0,0,0,114,432,656,1305,0,0,0,Coalcoman,0,1
O65,2013,0,0,0,76,0,0,12,0,0,0,65,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,43,0,0,0,0,Tumbiscatio,0,1
O67,2013,0,0,455,0,0,220,0,41,81,57,411,169,94,24,12,11,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,12,167,404,214,0,0,0,Aguililla,0,1
O70,2013,1940,0,1433,4,48,1105,46,325,319,844,2273,928,463,263,161,76,35,11,26,17,19,4,36,2,2,3,24,6,1,0,0,0,0,26,496,1335,2238,1151,0,0,0,Tancitaro,1,1
C77,2013,181,0,522,83,102,1891,57,753,933,158,2073,834,409,214,168,191,89,65,51,30,27,43,38,39,13,10,0,0,4,12,2,2,0,50,351,984,2005,1182,0,0,0,Cotija,1,1
C80,2013,0,46,40,90,0,666,0,60,0,71,546,118,90,43,14,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,244,517,0,0,0,0,Chilchota,1,1
C83,2013,3848,0,7170,1209,147,7863,1083,2474,1701,1508,9078,3906,2545,1888,1478,1044,766,604,513,331,281,245,155,138,140,123,70,99,56,62,47,25,32,350,1167,3974,8033,7131,2079,1780,1331,Jacona,0,1
C84,2013,77,24,3568,494,1074,1925,132,1212,1562,510,4916,1565,797,451,274,258,142,143,83,180,148,100,86,67,58,56,25,21,17,30,26,15,6,85,885,2220,3925,3038,0,0,0,Jiquilpan,0,1
C86,2013,2642,33,13038,2952,790,19976,1916,6564,3955,2986,22068,8460,4639,3213,2052,1576,1236,883,758,641,434,391,347,306,273,234,195,172,169,93,127,85,121,407,3400,9906,20248,14572,3740,0,0,La Piedad,0,1
C88,2013,3151,0,2442,701,601,8670,794,5895,2259,1447,12319,3188,1926,1155,868,527,480,421,258,307,177,193,92,153,112,102,116,124,53,42,17,36,32,130,2855,5874,8560,5791,1340,93,0,Los Reyes,1,1
C96,2013,1488,10,1718,246,175,3211,114,454,473,269,4327,1656,744,354,189,170,63,29,3,42,3,20,4,12,0,2,2,0,0,0,0,0,0,0,898,2159,4070,762,0,0,0,Periban,1,1
C98,2013,260,0,4014,1346,94,9528,1607,3762,3129,1495,12548,3780,1613,1109,793,588,347,248,229,180,161,126,48,95,75,71,43,36,27,17,9,12,8,82,2465,6466,9905,4904,0,0,0,Sahuayo,0,1
D02,2013,615,0,1935,146,0,381,46,374,144,139,1646,626,317,221,206,138,51,78,54,21,13,12,7,17,1,14,0,34,0,0,0,14,0,32,306,655,1288,1392,0,0,0,Tinguindin,1,1
D03,2013,1251,0,1677,94,0,547,66,97,120,331,1494,298,165,150,168,79,82,65,86,68,32,6,28,64,18,2,10,2,13,20,2,2,22,52,226,528,875,160,1648,415,0,Tocumbo,1,1
D06,2013,431,0,537,159,0,734,63,277,245,203,1570,356,91,51,39,68,16,16,17,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,290,835,973,348,0,0,0,Venustiano Carranza,0,1
D08,2013,2825,255,18837,5114,1319,37525,5226,18448,13514,9938,36104,16318,9949,6610,4664,3244,2662,2103,1768,1393,1305,978,896,745,681,605,499,351,333,258,270,142,159,744,7658,19803,37458,25814,2501,2457,7120,Zamora,0,1
L26,2013,0,0,24,12,172,242,12,125,0,63,257,47,13,30,17,25,34,34,4,6,16,17,6,5,5,6,0,2,0,0,0,0,0,0,59,179,349,0,0,0,0,Penjamillo,0,1
O23,2013,370,0,41,6,84,159,0,24,238,18,598,189,81,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,131,433,348,0,0,0,Pajacuaran,0,1
O28,2013,218,0,715,230,0,862,267,127,161,24,1673,472,196,101,50,16,24,6,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,564,1080,459,342,0,0,Vista Hermosa,0,1
O29,2013,235,0,40,24,0,708,144,353,45,59,692,262,140,154,70,82,3,36,1,1,13,20,0,2,0,12,0,0,0,0,0,0,0,2,75,365,1069,40,0,0,0,Tanhuato,0,1
O30,2013,584,0,115,92,0,252,0,123,46,259,622,142,112,44,12,0,0,3,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,227,659,260,0,0,0,Brisenas,0,1
O31,2013,28,0,24,0,0,123,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,89,0,0,0,0,Zinaparo,0,1
O32,2013,0,0,203,0,48,182,0,24,12,139,214,58,12,24,2,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,272,173,0,0,0,0,Churintzio,0,1
O33,2013,996,0,230,122,0,830,24,155,84,215,1213,468,199,146,52,14,20,20,16,0,6,8,2,6,0,0,0,2,2,0,10,0,10,24,146,443,1475,377,0,0,0,Numaran,0,1
O39,2013,1378,0,679,562,190,2221,297,586,551,352,3849,1159,464,191,98,102,52,37,42,10,28,22,30,12,8,8,0,0,0,0,0,0,0,0,651,1502,3555,406,297,53,0,Tangancicuaro,1,1
O40,2013,180,0,2523,121,346,1912,131,754,415,651,3297,924,664,310,151,80,63,34,29,11,26,56,18,34,3,15,1,1,0,1,11,0,0,0,691,1392,3065,1100,134,0,0,Purepero,1,1
O41,2013,120,201,0,0,0,195,0,0,70,35,386,69,24,36,24,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,170,395,0,0,0,0,Tlazazalca,0,1
O43,2013,0,0,12,19,0,197,15,116,91,24,289,27,17,20,23,8,13,5,8,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,66,153,231,0,0,0,0,Cojumatlan de Regules,0,1
O50,2013,48,0,659,0,0,506,142,152,93,147,744,191,200,131,68,28,26,12,8,9,10,12,0,12,0,0,0,2,0,0,0,0,0,0,132,317,643,508,0,0,0,Chavinda,0,1
O51,2013,91,0,450,0,0,547,69,228,319,217,1104,214,73,36,36,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,672,751,0,0,0,0,Tangamandapio,1,1
O56,2013,722,17,1136,72,324,2403,85,486,328,70,3265,935,353,259,151,115,72,72,23,26,62,36,33,23,15,12,21,2,16,0,0,2,2,8,540,1382,3200,451,0,0,0,Yurecuaro,0,1
O60,2013,120,0,159,39,61,886,345,71,99,75,835,245,196,199,60,20,27,39,20,6,8,12,12,8,2,10,0,2,0,2,2,0,0,0,153,283,1344,0,0,0,0,Ecuandureo,0,1
O62,2013,48,0,4,0,0,227,0,108,7,48,251,23,26,22,1,11,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,185,158,0,0,0,0,Villamar,0,1
O69,2013,162,0,100,11,0,178,0,132,62,36,405,154,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,253,270,0,0,0,0,Ixtlan,0,1
