year,mun,mean_workers_year,pob,tasa,log_tasa,gini_mean,pto,trat_2
2011,Buenavista,678,85296,7.948790095666854,2.0730197278599904,0.240076875,1,0
2011,Ziracuaretiro,324,31139,10.40495841228042,2.342282462940005,0.265047471,1,1
2011,Nuevo Parangaricutiro,2074,38222,54.26194338339176,3.993823122722683,0.236440924,1,1
2011,Nahuatzen,758,55435,13.673671867953459,2.615472222418057,0.20391469,1,0
2011,Coalcoman,448,37208,12.040421414749517,2.4882694404931893,0.311636323,1,0
2011,Tumbiscatio,208,16096,12.922465208747514,2.5589672857839894,0.084694541,1,0
2011,Aguililla,725,32699,22.171931863359738,3.0988271584588323,0.141446197,1,0
2011,Tancitaro,493,59751,8.250907934595237,2.110323246969448,0.31575096,1,1
2011,Cotija,219,39518,5.541778430082494,1.7123154655048751,0.380593006,1,1
2011,Chilchota,604,73446,8.22372899817553,2.1070237556133846,0.206885419,1,1
2011,Jacona,600,129173,4.644933538742617,1.5357770640348318,0.416076556,1,0
2011,Jiquilpan,3133,68818,45.525879857014154,3.8182809523245296,0.403865261,1,0
2011,La Piedad,4109,201120,20.430588703261733,3.0170332240414726,0.405447341,1,0
2011,Los Reyes,1673,131320,12.739872068230277,2.544736608353432,0.403055665,1,1
2011,Periban,914,51614,17.70837369705894,2.874037617937202,0.232617978,1,1
2011,Sahuayo,2485,146841,16.923066446019842,2.8286775697918056,0.365523222,1,0
2011,Tinguindin,241,27321,8.82105340214487,2.1771412962368637,0.367844758,1,1
2011,Tocumbo,867,23355,37.122671804752734,3.6142278828264707,0.467538039,1,1
2011,Venustiano Carranza,679,46966,14.45726695907678,2.6711971918870727,0.269363665,1,0
2011,Zamora,13452,376392,35.73933558630364,3.576251919359927,0.422600494,1,0
2011,Penjamillo,541,34260,15.79100992410975,2.759440785950508,0.387250296,1,0
2011,Pajacuaran,189,39238,4.8167592639787955,1.5721013500610053,0.155451897,1,0
2011,Vista Hermosa,503,38428,13.089413968980953,2.571803809552247,0.250429344,1,0
2011,Tanhuato,312,30444,10.248324793062672,2.3271142574043373,0.29216634,1,0
2011,Zinaparo,70,6498,10.77254539858418,2.3770008048024502,0.009019807,1,0
2011,Tangancicuaro,282,65966,4.274929509141073,1.4527676131629694,0.249370899,1,1
2011,Purepero,484,30659,15.786555334485794,2.75915864959091,0.326484586,1,1
2011,Tlazazalca,463,13702,33.79068749087724,3.5201852465055268,0.254222222,1,0
2011,Cojumatlan de Regules,183,20084,9.111730730930095,2.209562674668962,0.328397427,1,0
2011,Tangamandapio,436,56445,7.724333421915139,2.044375530635524,0.209126365,1,1
2011,Yurecuaro,667,60470,11.030262940300975,2.4006426716305023,0.322930519,1,0
2011,Ecuandureo,114,25522,4.466734581929315,1.4966576230827107,0.242446218,1,0
2011,Villamar,381,33803,11.271188947726532,2.422249819179983,0.259958278,1,0
2011,Ixtlan,179,27339,6.547423095211968,1.8790715516586556,0.161719178,1,0
2011,Marcos Castellanos,420,26286,15.978087194704404,2.7712182332175974,0.167334873,1,0
2011,Hidalgo,4709,237338,19.840902004735863,2.987745564771653,0.418872592,1,1
2011,Jungapeo,525,40036,13.113198121690479,2.5736192132348514,0.264433881,1,1
2011,Zitacuaro,9846,311456,31.612812082605565,3.453562484074063,0.405297583,1,1
2011,Angangueo,674,21602,31.200814739375986,3.4404442079160247,0.158173056,1,0
2011,Tlalpujahua,1001,55380,18.07511737089202,2.894536261572405,0.312356257,1,0
2011,Maravatio,2691,162377,16.572544141103727,2.807747358644946,0.365369246,1,0
2011,Contepec,1061,66344,15.992403231641143,2.7721138114650805,0.229626261,1,0
2011,Huetamo,1911,84561,22.599070493489908,3.1179087768257947,0.371042712,1,0
2011,San Lucas,499,36847,13.54248649822238,2.605831891556426,0.301462449,1,0
2011,Aporo,139,6508,21.358328211432084,3.0614417437739005,0.098684211,1,0
2011,Tuxpan,379,52065,7.27936233554211,1.985043267100567,0.381347352,1,1
2011,Senguio,419,37168,11.273138183383555,2.422422743894084,0.036888344000000003,1,0
2011,Tiquicheo,215,28912,7.4363586054233535,2.00638129427779,0.212881096,1,0
2011,Tuzantla,306,32627,9.378735403193673,2.2384449355064633,0.185535619,1,0
2011,Arteaga,272,44692,6.086100420656941,1.806007551610906,0.307257508,1,0
2011,Lazaro Cardenas,8630,361521,23.87136570213072,3.1726796528795806,0.445985938,1,0
2011,Irimbo,91,29801,3.0535888057447735,1.1163175565215364,0.169727771,1,0
2011,Numaran,207,19237,10.760513593595675,2.3758832853413248,0.314358864,1,0
2011,Chavinda,151,20039,7.535306153001646,2.019599462042917,0.296967619,1,0
2012,Chinicuila,97,10843,8.945863690860463,2.191191268013338,NA,NA,NA
2012,Coahuayana,462,29662,15.575483783966016,2.745698125761968,0.372747918,1,0
2012,Aquila,465,48982,9.493283246907028,2.2505845219039204,0.417667923,1,0
2012,Morelia,48766,1506775,32.364487066748524,3.4770617434785147,0.446702757,1,0
2012,Nocupetaro,455,16206,28.076021226706157,3.334915874912417,0.179733345,1,0
2012,Patzcuaro,5171,179910,28.74214885220388,3.3583646465476935,0.413212936,1,1
